"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
IN9475;W FI 3S FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN9475-small.png;1 677;30;397%;34;515;480
JR5089;RUNFALCON 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR5089-small.png;1 672;42;;16;;4
JQ5743;CAMPUS 00S DOUBLE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ5743-small.png;1 662;43;;;;
IF2374;PUREBOOST 23;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF2374-small.png;1 657;37;103%;28;;14
BI6119;name+number [plotter];https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/BI6119-small.png;1 653;140;18%;;;
JP5155;RUNFALCON 5 EL I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP5155-small.png;1 638;77;;13;;46
IR9159;M FI 3S FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR9159-small.png;1 636;31;10%;31;153;161
IC9770;M ALL SZN PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC9770-small.png;1 628;42;2474%;3;;11
FX5502;STAN SMITH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5502-small.png;1 627;95;117%;2;;7
GX0709;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GX0709-small.png;1 627;42;-19%;5;;
