"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
JI1918;CAMPUS VULC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1918-small.png;1 500;24;;71;124;171
JS1223;CLOUDFOAM COMFY EL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1223-small.png;1 497;38;;45;;12
IH3665;TERREX SNOWPITCH C.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH3665-small.png;1 492;44;;;;
IG7281;RUNFALCON 3.0 K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG7281-small.png;1 484;57;;15;;53
JR8886;GAZELLE LO PRO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8886-small.png;1 481;32;;14;0;
IE9070;CAMPUS 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE9070-small.png;1 478;50;238%;2;;0
JH8558;SUPERNOVA EASE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH8558-small.png;1 473;45;;4;;3
IE8132;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8132-small.png;1 472;38;97%;55;156;148
GK9658;M 3S TR TT TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GK9658-small.png;1 470;47;-19%;13;0;9
KC2564;3S LONG DOWN U;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC2564-small.png;1 469;15;;;714;
JQ5747;CAMPUS 00S DOUBLE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ5747-small.png;1 460;35;;;;
IG3345;ADIZERO SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG3345-small.png;1 459;35;;4;;3
KJ1364;adizero Evo SL M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KJ1364-small.png;1 449;27;;;;
ID4021;CLOUDFOAM GO LOUNGER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID4021-small.png;1 440;39;;25;;10
JP7107;BARREDA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP7107-small.png;1 434;25;;14;;16
JS1304;HARDEN VOLUME 9;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1304-small.png;1 433;40;;;;
ID8762;GALAXY 7 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID8762-small.png;1 429;41;23%;1;;1
IH3396;RETROCROSS 25;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH3396-small.png;1 420;23;;32;;22
JR8889;GAZELLE LO PRO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8889-small.png;1 415;32;;5;;9
JR3462;LIGHTBLAZE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR3462-small.png;1 414;40;;;;
HQ4201;ULTRABOOST 1.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ4201-small.png;1 414;28;;5;;4
HP3213;aSMC SPORTSWEAR RUN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP3213-small.png;1 414;18;;;;
IJ6070;M WVN NO HD TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IJ6070-small.png;1 411;33;-5%;12;;21
JR2902;COPA PURE III CLUB TF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR2902-small.png;1 399;51;;6;;5
GW4131;GALAXY 6 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW4131-small.png;1 395;39;-35%;62;912;3409
JD0696;Q12 MONOGRAM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0696-small.png;1 389;30;;;;
GW6439;Tensaur Sport 2.0 CF K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW6439-small.png;1 389;67;;40;452;287
FY8168;GRAND COURT SE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8168-small.png;1 389;30;-53%;2;;2
GX1739;RUN 60s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GX1739-small.png;1 388;33;228%;17;;5
IJ8785;W 3S TR TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IJ8785-small.png;1 382;35;;2;;1
JW4727;M Z.N.E. PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW4727-small.png;1 376;42;;10;;
JQ2479;STADT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ2479-small.png;1 375;23;;53;;186
JR5987;BUBBLECOMFY I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR5987-small.png;1 370;69;;18;;6
IF1547;PUREBOOST 23;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1547-small.png;1 370;32;;3;;3
ID3277;ULTRABOOST LIGHT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID3277-small.png;1 370;29;31%;17;;30
JW5452;NC LO TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW5452-small.png;1 367;38;;;;
JS4028;JAPAN W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS4028-small.png;1 365;26;;3;;2
HP6414;ULTRABOOST LIGHT C.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP6414-small.png;1 352;17;247%;48;;84
IF1348;F50 CLUB TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1348-small.png;1 343;31;368%;25;;29
JN1830;M STA SEAS PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN1830-small.png;1 340;51;;42;317;180
IW5254;W FI 3S FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW5254-small.png;1 339;28;3677%;;;
IH1326;R71;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH1326-small.png;1 337;26;;26;0;46
IH9977;RETROCROSS 25;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH9977-small.png;1 333;23;;39;8;27
IF1487;ULTRABOOST LIGHT W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1487-small.png;1 329;29;;4;;14
JQ6469;SUPERSTAR II W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ6469-small.png;1 329;22;;5;;
GK9034;M 3S FT FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GK9034-small.png;1 314;42;-47%;11;;6
HP7558;RUNFALCON 3.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP7558-small.png;1 308;35;;64;352;291
IH7830;FORUM LOW CL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH7830-small.png;1 305;33;;;;
JS0315;ULTRADREAM DNA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS0315-small.png;1 304;35;;;;
IG7927;HOOPS 3.0 MID WTR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG7927-small.png;1 303;41;-14%;;;
H03075;RETROPY E5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H03075-small.png;1 302;18;;41;;48
IH8039;CAMPUS VULC J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8039-small.png;1 301;35;;38;305;300
IR5207;M Z.N.E. WV PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR5207-small.png;1 294;24;;31;61;107
JD5984;M Z.N.E. FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD5984-small.png;1 292;36;;3;;5
ID6161;ADISTAR 3 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID6161-small.png;1 286;30;;;;
JI0150;JABBAR LO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0150-small.png;1 279;30;;;;
GW4139;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW4139-small.png;1 262;35;-63%;39;1 444;1730
JC5454;W FI 3S REG PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC5454-small.png;1 252;32;;18;680;
JQ8848;BARREDA DECODE EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ8848-small.png;1 247;41;;30;;105
IG1474;RIVALRY LOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG1474-small.png;1 246;26;;21;;18
IH8612;RUN 84;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8612-small.png;1 245;29;;;;
JS3865;HANDBALL SPEZIAL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS3865-small.png;1 238;39;;;;
HG8749;Helionic Ho Jkt;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HG8749-small.png;1 229;15;;;166;
IE3480;aSMC SPORTSWEAR low ground;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE3480-small.png;1 228;17;;4;;5
JN2118;Helionic Vest;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN2118-small.png;1 224;27;;1;;
JH8777;TERREX ANYLANDER CLIMAWARM + W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH8777-small.png;1 213;19;;;34;
JM1652;W ALL SZN SL PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM1652-small.png;1 212;28;;;281;328
KB3734;ULT MSH CL PRT2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KB3734-small.png;1 204;38;;4;;1
IW1134;W ALL SZN E PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW1134-small.png;1 204;32;8958%;25;;18
JX2952;LONG PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2952-small.png;1 196;29;;;95;
KI1049;HOOPS CLASSIC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KI1049-small.png;1 195;30;;39;;46
IH3592;DURAMO SL2 J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH3592-small.png;1 193;32;;41;174;34
ID6522;CLOUDFOAM MOVE SOCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID6522-small.png;1 186;31;;34;;10
IY4150;M A SZN T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY4150-small.png;1 182;47;821%;7;734;236
IG7928;HOOPS 3.0 MID WTR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG7928-small.png;1 181;39;;;22;
JQ6419;SUPERSTAR LED LIGHTS CF EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ6419-small.png;1 180;39;;21;;74
BB5478;GAZELLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/BB5478-small.png;1 171;24;;7;;12
JS4018;SUPERSTAR II W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS4018-small.png;1 166;30;;4;;3
JS1202;CLOUDFOAM GO LOUNGER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1202-small.png;1 155;35;;17;;5
HP6961;LIGHTBLAZE VISTA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP6961-small.png;1 153;18;;1;;
IU2827;ADI GOLF TPR PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IU2827-small.png;1 151;45;16%;26;1;7
FW6688;GRAND COURT SE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6688-small.png;1 149;26;-46%;16;;56
JQ5720;ADIRACER LO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ5720-small.png;1 148;29;;10;;35
IJ6072;M WVN NO HD TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IJ6072-small.png;1 143;28;-70%;;;
IS3920;W Z.N.E. TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IS3920-small.png;1 143;50;;11;20;11
IK2251;cuLIC24 JSY RG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IK2251-small.png;1 140;93;-33%;67;338;79
JP4428;Q12 MONOGRAM TR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP4428-small.png;1 130;22;4150%;17;;30
JM3919;PAVERIC FUR PAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM3919-small.png;1 127;22;;;633;
GK9032;M 3S FT FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GK9032-small.png;1 127;35;-45%;10;;
IY6856;W ALL SZN E PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY6856-small.png;1 120;31;;23;;20
JQ3209;SUPERSTAR II;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ3209-small.png;1 116;17;;13;;23
JS3866;HANDBALL SPEZIAL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS3866-small.png;1 115;34;;2;;7
JP7821;OZMILLEN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP7821-small.png;1 115;36;;;;
GM8736;W 3S FT C PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GM8736-small.png;1 115;62;-17%;19;;33
HP7564;RUNFALCON 3.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP7564-small.png;1 114;27;;29;;20
JQ7824;SAMBA JP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ7824-small.png;1 112;23;;1;;
IG8569;Tensaur Run 2.0 CF K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG8569-small.png;1 112;39;-43%;26;832;501
IG9898;RETROPY F2 J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG9898-small.png;1 105;25;;20;;12
HT4743;LINEAR DUFFEL M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HT4743-small.png;1 098;54;145%;2;81;21
KE4684;M Z.N.E. PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE4684-small.png;1 097;27;;2;;2
HP2388;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP2388-small.png;1 096;29;-13%;43;47;158
HZ3692;ADIZERO A JKT M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HZ3692-small.png;1 094;29;;2;;7
H00469;OWNTHEGAME 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H00469-small.png;1 094;28;70%;30;;13
KC1118;PERF TXT POLO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC1118-small.png;1 093;45;;10;0;4
KW1237;GFO M PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KW1237-small.png;1 091;27;;4;;2
JQ5757;ADIRACER LO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ5757-small.png;1 084;27;;10;;12
JP4419;Q12 MONOGRAM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP4419-small.png;1 083;22;1073%;;;
IG6100;adidas ASTIR W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG6100-small.png;1 078;30;-67%;2;;7
JV7494;FB OS TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7494-small.png;1 078;29;;5;;4
IH2640;ULTRARUN 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH2640-small.png;1 076;24;1873%;;16;
KE4709;M Z.N.E. OHPT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE4709-small.png;1 074;25;;10;;3
IY7688;M FI 3S FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7688-small.png;1 073;24;;2;;7
FT8524;TREFOIL LINER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FT8524-small.png;1 063;154;28%;9;1;1
JI0026;F50 CLUB TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0026-small.png;1 055;26;;30;;11
IL8763;FIREBIRD TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IL8763-small.png;1 052;35;;14;;12
JW7302;FB OS TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW7302-small.png;1 052;24;;7;2;16
IC9758;M ALL SZN HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC9758-small.png;1 050;27;294%;10;;
19228;MUNDIAL TEAM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/019228-small.png;1 044;18;-1%;0;274;
IH6092;Response;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH6092-small.png;1 044;20;;14;;4
JQ0755;ADISTAR 3 SPORTSWEAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ0755-small.png;1 043;12;;21;53;22
JH6208;adizero Evo SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH6208-small.png;1 041;11;;32;3;
JR7030;TAEKWONDO MEI BALLET W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR7030-small.png;1 035;28;;7;;12
IF7884;DURAMO SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF7884-small.png;1 034;25;;43;32;29
IG5458;PREDATOR CLUB TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG5458-small.png;1 029;27;56%;31;;
HP8600;TERREX EASTRAIL 2 MID R.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP8600-small.png;1 026;11;;;;
JJ3665;M A SZN G HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ3665-small.png;1 025;38;2583%;8;;
JR2212;VL COURT BASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR2212-small.png;1 024;25;;26;;30
ID8845;ULTRABOOST 5 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID8845-small.png;1 022;21;391%;5;;
JG1530;MYSHELTER PARKA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JG1530-small.png;1 021;11;;;;
KW1238;GFO M PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KW1238-small.png;1 021;27;;1;;
FZ0962;RUN 60s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ0962-small.png;1 020;23;-75%;;;
JQ5667;RUNFALCON 5 EL I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ5667-small.png;1 014;50;;16;;19
IR5217;M Z.N.E. TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR5217-small.png;1 007;40;-12%;18;459;278
JP7147;adizero Evo SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP7147-small.png;1 006;10;;19;9;
IF6150;COUNTRY XLG CF EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF6150-small.png;1 005;27;;36;7;
JM4061;ESS 3S LD HD PA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM4061-small.png;997;17;;;1 883;
HQ8588;PUREBOOST 22;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ8588-small.png;997;13;;48;;28
IS0542;ADI GOLF SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IS0542-small.png;994;36;;5;;2
JD0699;Q12 MONOGRAM TR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0699-small.png;993;21;;10;;18
H03474;CAMPUS 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H03474-small.png;987;19;;12;;21
HQ4207;ULTRABOOST 1.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ4207-small.png;986;19;;34;;40
IN7194;ESS 3S INS HO J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN7194-small.png;985;17;441%;;560;
IE8130;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8130-small.png;983;26;88%;42;115;79
JI1350;SAMBAE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1350-small.png;982;26;;;;
JR8843;SAMBA OG W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8843-small.png;982;33;;;;
IA3073;M 3S FL TT TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IA3073-small.png;980;29;;35;;123
KW1254;GFO W OH PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KW1254-small.png;978;30;;26;;9
IG2441;aSMC SPORTSWEAR RUN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG2441-small.png;972;13;;4;;5
JQ6372;R71;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ6372-small.png;971;18;;22;;19
IQ2921;ADI GOLF PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IQ2921-small.png;970;27;;13;0;23
HP2537;GRAND COURT 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP2537-small.png;970;19;-44%;14;0;25
HQ4204;ULTRABOOST 1.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ4204-small.png;968;19;;9;;8
IH6192;GRAND COURT BASE 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH6192-small.png;967;27;;3;;
JI0974;GRAND COURT 2.0 EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0974-small.png;965;35;;38;;44
JR1402;SAMBA JANE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR1402-small.png;963;12;;22;622;250
JQ9062;JAPAN W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ9062-small.png;963;21;;;;
IY3398;COMMERCIAL PUFF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY3398-small.png;961;15;;;228;
IF4868;TERREX AX4;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4868-small.png;960;18;;20;;23
ID3276;ULTRABOOST LIGHT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID3276-small.png;960;20;84%;25;;44
JQ3216;SUPERSTAR II;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ3216-small.png;959;20;;;;
JR4189;TERREX SNOW CW K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR4189-small.png;958;41;;;28;
JX4122;COMMERCIAL PUFF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX4122-small.png;957;18;;1;;
JI9104;W ALL SZN E HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI9104-small.png;956;25;;30;193;781
JV5425;MER DNA TEE M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5425-small.png;956;82;;3;;1
IJ7055;FIREBIRD TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IJ7055-small.png;956;38;1160%;3;;
IF4870;TERREX AX4 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4870-small.png;955;25;156%;6;;5
IH7828;FORUM LOW CL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH7828-small.png;952;24;;3;;3
JQ9010;STADT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ9010-small.png;949;16;;47;6;93
IF9447;DURAMO SPEED M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF9447-small.png;949;22;;7;;25
GX1752;DAILY 3.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GX1752-small.png;947;42;-2%;;;
H10155;W 3S TR TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H10155-small.png;942;25;122%;18;;9
HQ1349;ADIZERO SL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ1349-small.png;941;13;-3%;45;83;90
IB8121;TR-ES LOGO SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IB8121-small.png;939;34;6528%;38;;4
HR0349;LITE RACER ADAPT 4.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HR0349-small.png;939;50;284%;8;;7
JS0335;ULTRADREAM DNA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS0335-small.png;937;28;;3;;2
ID9842;CAMPUS 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID9842-small.png;937;14;-4%;26;;30
